Cla Subject Ldesc,Cla Catalog Nbr,Cla Class Section Year,Cla Instructor Name,Official Enrollmt,Grades Received,Grades Pct of Enrolled,gpa,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,"F, F+",W
English,101,2013,Course Total,1907,1800,94.30%,2.938,475,240,221,279,137,73,58,124,36,22,3,131,108
English,102,2013,Course Total,1347,1224,90.80%,2.864,271,182,157,207,103,36,34,85,9,26,0,113,124
English,101,2014,Course Total,1844,1762,95.40%,3.022,481,276,264,234,108,84,38,112,14,28,11,110,84
English,102,2014,Course Total,1397,1299,93.00%,2.966,332,211,188,187,96,38,30,68,8,27,11,103,98
English,101,2015,Course Total,1831,1742,95.10%,3.143,591,244,230,247,102,47,36,122,20,23,3,77,89
English,102,2015,Course Total,1623,1525,93.80%,2.972,438,230,207,204,113,37,22,88,17,18,14,135,100
English,101,2016,Course Total,1767,1693,95.80%,3.17,485,318,275,233,106,53,61,54,4,19,3,82,74
English,102,2016,Course Total,1523,1410,92.60%,2.951,373,193,194,217,99,51,59,60,9,45,7,103,113
English,101,2017,Course Total,1648,1569,95.10%,3.227,519,302,190,213,92,40,99,28,4,11,1,68,81
English,102,2017,Course Total,1205,1142,94.40%,3.077,320,187,159,145,100,53,45,44,5,7,0,72,68
Mathematical Sciences,95,2013,Course Total,1284,1166,90.70%,2.434,226,82,86,152,85,84,173,4,28,52,36,157,119
Mathematical Sciences,105,2013,Course Total,1670,1555,92.80%,2.307,239,129,125,193,114,114,173,39,55,71,38,260,120
Mathematical Sciences,105,2014,Course Total,1875,1701,90.60%,2.676,506,145,118,186,124,91,149,33,39,59,45,203,177
Mathematical Sciences,105,2015,Course Total,1570,1466,93.30%,2.511,408,98,112,136,109,80,99,60,43,53,30,237,105
Mathematical Sciences,105,2016,Course Total,1717,1604,93.40%,2.626,424,132,126,172,125,116,116,71,40,69,28,185,113
Mathematical Sciences,105,2017,Course Total,1828,1732,94.70%,2.778,548,169,144,177,118,77,125,60,49,55,31,178,97
Psychology,101,2013,Course Total,1615,1507,92.70%,2.471,378,61,100,220,80,85,146,68,48,74,23,214,118
Psychology,101,2014,Course Total,1538,1443,93.70%,2.28,326,87,80,133,85,100,123,71,54,79,33,270,97
Psychology,101,2015,Course Total,1415,1337,94.20%,2.481,225,99,110,194,134,81,153,73,43,45,28,148,82
Psychology,101,2016,Course Total,1258,1192,94.70%,2.707,318,102,116,124,94,101,68,49,61,23,16,119,67
Psychology,101,2017,Course Total,1396,1333,95.40%,2.685,317,136,142,159,103,97,97,46,31,35,12,156,65
